old_samp_name	new_samp_name
RP-2140.Sen.Th.133.14	SEN_SLP_2014_133
RP-2140.Sen.Th.134.14	SEN_SLP_2014_134
RP-2140.Sen.Th.135.14	SEN_SLP_2014_135
RP-2140.Sen.Th.136.06	SEN_SLP_2006_136
RP-2140.Sen.Th.136.08	SEN_SLP_2008_136
RP-2140.Sen.Th.136.10	SEN_SLP_2010_136
RP-2140.Sen.Th.137.08	SEN_SLP_2008_137
RP-2140.Sen.Th.139.06	SEN_SLP_2006_139
RP-2140.Sen.Th.140.06	SEN_SLP_2006_140
RP-2140.Sen.Th.140.10	SEN_SLP_2010_140
RP-2140.Sen.Th.140.12	SEN_SLP_2012_140
RP-2140.Sen.Th.141.06	SEN_SLP_2006_141
RP-2140.Sen.Th.142.14	SEN_SLP_2014_142
RP-2140.Sen.Th.143.06	SEN_SLP_2006_143
RP-2140.Sen.Th.143.14	SEN_SLP_2014_143
RP-2140.Sen.Th.144.08	SEN_SLP_2008_144
RP-2140.Sen.Th.145.14	SEN_SLP_2014_145
RP-2140.Sen.Th.146.12	SEN_SLP_2012_146
RP-2140.Sen.Th.148.06	SEN_SLP_2006_148
RP-2140.Sen.Th.150.06	SEN_SLP_2006_150
RP-2140.Sen.Th.150.08	SEN_SLP_2008_150
RP-2140.Sen.Th.151.08	SEN_SLP_2008_151
RP-2140.Sen.Th.153.06	SEN_SLP_2006_153
RP-2140.Sen.Th.153.08	SEN_SLP_2008_153
RP-2140.Sen.Th.153.12	SEN_SLP_2012_153
RP-2140.Sen.Th.155.06	SEN_SLP_2006_155
RP-2140.Sen.Th.155.12	SEN_SLP_2012_155
RP-2140.Sen.Th.156.14	SEN_SLP_2014_156
RP-2140.Sen.Th.157.10	SEN_SLP_2010_157
RP-2140.Sen.Th.158.06	SEN_SLP_2006_158
RP-2140.Sen.Th.160.10	SEN_SLP_2010_160
RP-2140.Sen.Th.161.06	SEN_SLP_2006_161
RP-2140.Sen.Th.161.10	SEN_SLP_2010_161
RP-2140.Sen.Th.162.10	SEN_SLP_2010_162
RP-2140.Sen.Th.163.06	SEN_SLP_2006_163
RP-2140.Sen.Th.165.12	SEN_SLP_2012_165
RP-2140.Sen.Th.165.14	SEN_SLP_2014_165
RP-2140.Sen.Th.168.14	SEN_SLP_2014_168
RP-2140.Sen.Th.170.08	SEN_SLP_2008_170
RP-2140.Sen.Th.172.10	SEN_SLP_2010_172
RP-2140.Sen.Th.175.08	SEN_SLP_2008_175
RP-2140.Sen.Th.177.08	SEN_SLP_2008_177
RP-2140.Sen.Th.178.06	SEN_SLP_2006_178
RP-2140.Sen.Th.179.08	SEN_SLP_2008_179
RP-2140.Sen.Th.180.08	SEN_SLP_2008_180
RP-2140.Sen.Th.180.14	SEN_SLP_2014_180
RP-2140.Sen.Th.181.10	SEN_SLP_2010_181
RP-2140.Sen.Th.181.14	SEN_SLP_2014_181
RP-2140.Sen.Th.183.10	SEN_SLP_2010_183
RP-2140.Sen.Th.184.10	SEN_SLP_2010_184
RP-2140.Sen.Th.188.06	SEN_SLP_2006_188
RP-2140.Sen.Th.188.10	SEN_SLP_2010_188
RP-2140.Sen.Th.188.14	SEN_SLP_2014_188
RP-2140.Sen.Th.191.12	SEN_SLP_2012_191
RP-2140.Sen.Th.193.14	SEN_SLP_2014_193
RP-2140.Sen.Th.194.06	SEN_SLP_2006_194
RP-2140.Sen.Th.195.12	SEN_SLP_2012_195
RP-2140.Sen.Th.196.10	SEN_SLP_2010_196
RP-2140.Sen.Th.197.12	SEN_SLP_2012_197
RP-2140.Sen.Th.197.14	SEN_SLP_2014_197
RP-2140.Sen.Th.198.10	SEN_SLP_2010_198
RP-2140.Sen.Th.198.12	SEN_SLP_2012_198
RP-2140.Sen.Th.199.06	SEN_SLP_2006_199
RP-2140.Sen.Th.200.12	SEN_SLP_2012_200
RP-2140.Sen.Th.202.06	SEN_SLP_2006_202
RP-2140.Sen.Th.204.06	SEN_SLP_2006_204
RP-2140.Sen.Th.205.06	SEN_SLP_2006_205
RP-2140.Sen.Th.206.06	SEN_SLP_2006_206
RP-2140.Sen.Th.207.06	SEN_SLP_2006_207
RP-2140.Sen.Th.209.06	SEN_SLP_2006_209
RP-2140.Sen.Th.210.06	SEN_SLP_2006_210
RP-2140.Sen.Th.211.08	SEN_SLP_2008_211
RP-2140.Sen.Th.212.06	SEN_SLP_2006_212
RP-2140.Sen.Th.213.12	SEN_SLP_2012_213
RP-2140.Sen.Th.215.06	SEN_SLP_2006_215
